sonde	year	date	h	m	foF2	foF1	M(D)	MUF(D)	fmin	foEs	fminF	fminE	foE	fxI	h'F	h'F2	h'E	h'Es	hmE	yE	QF	QE	DownF	DownE	DownEs	FF	FE	D	fMUF	h'(fMUF)	delta_foF2	foEp	f(h'F)	f(h'F2)	foF1p	peak height of F2 layer	peak height of F1 layer	zhalfNm	foF2p	fminEs	yF2	yF1	TEC	scale F2	B0	B1	D1	foEa	h'Ea	foP	h'P	fbEs	Type Es
GU421	2010	02/19/2010	5	0	13.4																																																
GU421	2010	02/19/2010	0	0	5.6																																																
GU421	2010	02/19/2010	3	0	10.1																																																
GU421	2010	02/19/2010	17	0	6.0																																																
GU421	2010	02/19/2010	9	0	13.0																																																
GU421	2010	02/19/2010	15	0	6.3																																																
GU421	2010	02/19/2010	13	0	8.0																																																
GU421	2010	02/19/2010	22	0	2.9																																																
GU421	2010	02/19/2010	6	0	14.5																																																
GU421	2010	02/19/2010	2	0	8.2																																																
GU421	2010	02/19/2010	16	0	6.2																																																
GU421	2010	02/19/2010	8	0	13.8																																																
GU421	2010	02/19/2010	23	0	4.3																																																
GU421	2010	02/19/2010	7	0	14.9																																																
GU421	2010	02/20/2010	4	0	13.4																																																
GU421	2010	02/20/2010	0	0	6.6																																																
GU421	2010	02/20/2010	15	0	3.7																																																
GU421	2010	02/20/2010	7	0	13.9																																																
GU421	2010	02/20/2010	12	0	6.8																																																
GU421	2010	02/20/2010	14	0	4.2																																																
GU421	2010	02/20/2010	5	0	14.6																																																
GU421	2010	02/20/2010	13	0	5.4																																																
GU421	2010	02/20/2010	3	0	10.6																																																
GU421	2010	02/20/2010	9	0	12.0																																																
GU421	2010	02/20/2010	1	0	7.8																																																
GU421	2010	02/20/2010	16	0	4.1																																																
GU421	2010	02/20/2010	11	0	8.5																																																
GU421	2010	02/20/2010	2	0	8.9																																																
GU421	2010	02/20/2010	8	0	13.5																																																
GU421	2010	02/20/2010	6	0	14.0																																																
GU421	2010	02/20/2010	10	0	10.4																																																
GU421	2010	02/20/2010	17	0	3.2																																																
GU421	2010	02/21/2010	1	0	6.6																																																
GU421	2010	02/21/2010	16	0	6.3																																																
GU421	2010	02/21/2010	4	0	12.3																																																
GU421	2010	02/21/2010	13	0	9.1																																																
GU421	2010	02/21/2010	6	0	14.3																																																
GU421	2010	02/21/2010	19	0	5.8																																																
GU421	2010	02/21/2010	23	0	4.7																																																
GU421	2010	02/21/2010	17	0	5.1																																																
GU421	2010	02/21/2010	21	0	4.9																																																
GU421	2010	02/21/2010	14	0	8.6																																																
GU421	2010	02/21/2010	18	0	5.1																																																
GU421	2010	02/21/2010	2	0	7.3																																																
GU421	2010	02/21/2010	5	0	14.0																																																
GU421	2010	02/21/2010	7	0	14.6																																																
GU421	2010	02/21/2010	20	0	6.7																																																
GU421	2010	02/21/2010	9	0	14.1																																																
GU421	2010	02/21/2010	11	0	11.6																																																
GU421	2010	02/21/2010	0	0	5.9																																																
GU421	2010	02/21/2010	8	0	14.7																																																
GU421	2010	02/21/2010	22	0	4.2																																																
GU421	2010	02/21/2010	15	0	6.8																																																
GU421	2010	02/21/2010	10	0	12.9																																																
GU421	2010	02/21/2010	3	0	9.6																																																
GU421	2010	02/22/2010	6	0	14.3																																																
GU421	2010	02/22/2010	15	0	5.6																																																
GU421	2010	02/22/2010	3	0	9.9																																																
GU421	2010	02/22/2010	20	0	5.0																																																
GU421	2010	02/22/2010	14	0	6.3																																																
GU421	2010	02/22/2010	17	0	4.5																																																
GU421	2010	02/22/2010	2	0	8.4																																																
GU421	2010	02/22/2010	16	0	5.1																																																
GU421	2010	02/22/2010	13	0	7.7																																																
GU421	2010	02/22/2010	5	0	13.5																																																
GU421	2010	02/22/2010	4	0	13.3																																																
GU421	2010	02/22/2010	0	0	6.5																																																
GU421	2010	02/22/2010	21	0	2.3																																																
GU421	2010	02/22/2010	19	0	4.5																																																
GU421	2010	02/22/2010	9	0	11.8																																																
GU421	2010	02/22/2010	8	0	13.4																																																
GU421	2010	02/22/2010	18	0	4.5																																																
GU421	2010	02/22/2010	10	0	11.0																																																
GU421	2010	02/22/2010	23	0	4.4																																																
GU421	2010	02/22/2010	1	0	6.8																																																
GU421	2010	02/22/2010	12	0	9.9																																																
GU421	2010	02/22/2010	7	0	14.7																																																
GU421	2010	02/22/2010	22	0	2.3																																																
GU421	2010	02/22/2010	11	0	10.7																																																
GU421	2010	02/23/2010	11	0	6.7																																																
GU421	2010	02/23/2010	20	0	3.3																																																
GU421	2010	02/23/2010	3	0	8.4																																																
GU421	2010	02/23/2010	16	0	3.8																																																
GU421	2010	02/23/2010	15	0	4.8																																																
GU421	2010	02/23/2010	12	0	6.7																																																
GU421	2010	02/23/2010	23	0	4.2																																																
GU421	2010	02/23/2010	7	0	11.2																																																
GU421	2010	02/23/2010	4	0	9.6																																																
GU421	2010	02/23/2010	6	0	13.1																																																
GU421	2010	02/23/2010	10	0	6.8																																																
GU421	2010	02/23/2010	2	0	7.4																																																
GU421	2010	02/23/2010	22	0	2.4																																																
GU421	2010	02/23/2010	21	0	3.0																																																
GU421	2010	02/23/2010	18	0	3.5																																																
GU421	2010	02/23/2010	5	0	10.8																																																
GU421	2010	02/23/2010	0	0	6.9																																																
GU421	2010	02/23/2010	1	0	6.6																																																
GU421	2010	02/23/2010	14	0	6.2																																																
GU421	2010	02/23/2010	9	0	8.6																																																
GU421	2010	02/23/2010	19	0	3.5																																																
GU421	2010	02/23/2010	17	0	3.5																																																
GU421	2010	02/23/2010	13	0	6.3																																																
GU421	2010	02/23/2010	8	0	8.6																																																
GU421	2010	02/24/2010	14	0	6.1																																																
GU421	2010	02/24/2010	12	0	8.3																																																
GU421	2010	02/24/2010	5	0	14.3																																																
GU421	2010	02/24/2010	4	0	13.4																																																
GU421	2010	02/24/2010	15	0	5.7																																																
GU421	2010	02/24/2010	17	0	4.9																																																
GU421	2010	02/24/2010	11	0	10.9																																																
GU421	2010	02/24/2010	18	0	4.6																																																
GU421	2010	02/24/2010	22	0	2.9																																																
GU421	2010	02/24/2010	10	0	10.7																																																
GU421	2010	02/24/2010	19	0	4.3																																																
GU421	2010	02/24/2010	8	0	13.0																																																
GU421	2010	02/24/2010	13	0	6.5																																																
GU421	2010	02/24/2010	2	0	8.5																																																
GU421	2010	02/24/2010	3	0	10.4																																																
GU421	2010	02/24/2010	6	0	14.7																																																
GU421	2010	02/24/2010	23	0	4.3																																																
GU421	2010	02/24/2010	16	0	5.1																																																
GU421	2010	02/24/2010	1	0	7.2																																																
GU421	2010	02/24/2010	20	0	4.3																																																
GU421	2010	02/24/2010	21	0	3.9																																																
GU421	2010	02/24/2010	9	0	11.4																																																
GU421	2010	02/24/2010	7	0	14.7																																																
GU421	2010	02/24/2010	0	0	5.9																																																
GU421	2010	02/25/2010	15	0	5.9																																																
GU421	2010	02/25/2010	9	0	12.2																																																
GU421	2010	02/25/2010	12	0	9.6																																																
GU421	2010	02/25/2010	8	0	11.4																																																
GU421	2010	02/25/2010	5	0	13.6																																																
GU421	2010	02/25/2010	23	0	4.1																																																
GU421	2010	02/25/2010	2	0	8.0																																																
GU421	2010	02/25/2010	20	0	3.3																																																
GU421	2010	02/25/2010	6	0	12.5																																																
GU421	2010	02/25/2010	0	0	6.3																																																
GU421	2010	02/25/2010	21	0	2.6																																																
GU421	2010	02/25/2010	13	0	9.7																																																
GU421	2010	02/25/2010	18	0	4.6																																																
GU421	2010	02/25/2010	17	0	5.0																																																
GU421	2010	02/25/2010	11	0	9.2																																																
GU421	2010	02/25/2010	3	0	10.3																																																
GU421	2010	02/25/2010	16	0	5.1																																																
GU421	2010	02/25/2010	1	0	7.0																																																
GU421	2010	02/25/2010	19	0	4.1																																																
GU421	2010	02/25/2010	7	0	12.2																																																
GU421	2010	02/25/2010	22	0	2.0																																																
GU421	2010	02/25/2010	10	0	10.4																																																
GU421	2010	02/25/2010	4	0	12.6																																																
GU421	2010	02/26/2010	10	0	11.4																																																
GU421	2010	02/26/2010	12	0	9.3																																																
GU421	2010	02/26/2010	6	0	13.8																																																
GU421	2010	02/26/2010	3	0	10.1																																																
GU421	2010	02/26/2010	13	0	6.4																																																
GU421	2010	02/26/2010	0	0	6.1																																																
GU421	2010	02/26/2010	1	0	8.1																																																
GU421	2010	02/26/2010	20	0	3.5																																																
GU421	2010	02/26/2010	4	0	11.6																																																
GU421	2010	02/26/2010	16	0	4.4																																																
GU421	2010	02/26/2010	21	0	2.2																																																
GU421	2010	02/26/2010	2	0	8.9																																																
GU421	2010	02/26/2010	22	0	2.0																																																
GU421	2010	02/26/2010	14	0	5.4																																																
