foF2	foF2_err	date	year	h	m	sonde
4.175	0.7	2010-01-27	2010	6	45	GM037
4.6	0.0	2010-01-27	2010	7	0	GM037
4.8	0.0	2010-01-27	2010	7	15	GM037
4.7	0.0	2010-01-27	2010	7	30	GM037
4.9	0.0	2010-01-27	2010	7	45	GM037
5.0	0.0	2010-01-27	2010	8	0	GM037
5.1	0.0	2010-01-27	2010	8	15	GM037
5.2	0.0	2010-01-27	2010	8	30	GM037
5.3	0.0	2010-01-27	2010	8	45	GM037
5.3	0.0	2010-01-27	2010	9	0	GM037
5.35	0.7	2010-01-27	2010	9	15	GM037
5.4	0.0	2010-01-27	2010	9	30	GM037
5.4	0.0	2010-01-27	2010	9	45	GM037
5.35	0.7	2010-01-27	2010	10	0	GM037
5.3	0.0	2010-01-27	2010	10	15	GM037
5.5	0.0	2010-01-27	2010	10	30	GM037
5.3	0.0	2010-01-27	2010	10	45	GM037
5.2	0.0	2010-01-27	2010	11	0	GM037
5.1	0.0	2010-01-27	2010	11	15	GM037
5.2	0.0	2010-01-27	2010	11	30	GM037
4.8	0.0	2010-01-27	2010	11	45	GM037
5.3	0.0	2010-01-27	2010	12	0	GM037
5.5	0.0	2010-01-27	2010	12	15	GM037
5.1	0.0	2010-01-27	2010	12	30	GM037
4.8	0.7	2010-01-27	2010	12	45	GM037
4.5	0.0	2010-01-27	2010	13	0	GM037
4.8	0.0	2010-01-27	2010	13	15	GM037
5.2	0.0	2010-01-27	2010	13	30	GM037
5.3	0.0	2010-01-27	2010	13	45	GM037
5.9	0.0	2010-01-27	2010	14	0	GM037
5.7	0.0	2010-01-27	2010	14	15	GM037
5.5	0.0	2010-01-27	2010	14	30	GM037
5.7	0.0	2010-01-27	2010	14	45	GM037
5.6	0.0	2010-01-27	2010	15	0	GM037
5.6	0.0	2010-01-27	2010	15	15	GM037
5.6	0.0	2010-01-27	2010	15	30	GM037
5.0	0.0	2010-01-27	2010	15	45	GM037
4.7	0.0	2010-01-27	2010	16	0	GM037
4.2	0.0	2010-01-27	2010	16	15	GM037
3.6	0.0	2010-01-27	2010	16	30	GM037
3.8	0.0	2010-01-27	2010	16	45	GM037
3.5	0.0	2010-01-27	2010	17	0	GM037
2.8	0.0	2010-01-27	2010	17	15	GM037
2.6	0.0	2010-01-27	2010	17	30	GM037
2.8	0.0	2010-01-27	2010	17	45	GM037
2.5	0.0	2010-01-27	2010	18	0	GM037
2.6	0.0	2010-01-27	2010	18	15	GM037
2.5	0.0	2010-01-27	2010	18	30	GM037
2.5	0.0	2010-01-27	2010	18	45	GM037
2.4	0.0	2010-01-27	2010	19	0	GM037
2.6	0.0	2010-01-27	2010	19	15	GM037
2.4	0.0	2010-01-27	2010	19	30	GM037
2.6	0.0	2010-01-27	2010	19	45	GM037
2.8	0.0	2010-01-27	2010	20	0	GM037
2.6	0.0	2010-01-27	2010	20	15	GM037
2.7	0.0	2010-01-27	2010	20	30	GM037
2.8	0.0	2010-01-27	2010	20	45	GM037
2.6	0.0	2010-01-27	2010	21	0	GM037
2.7	0.0	2010-01-27	2010	21	15	GM037
2.8	0.0	2010-01-27	2010	21	30	GM037
2.7	0.0	2010-01-27	2010	21	45	GM037
2.6	0.0	2010-01-27	2010	22	0	GM037
2.5	0.0	2010-01-27	2010	22	15	GM037
2.7	0.0	2010-01-27	2010	22	30	GM037
2.6	0.0	2010-01-27	2010	22	45	GM037
2.4	0.0	2010-01-27	2010	23	0	GM037
2.4	0.0	2010-01-27	2010	23	15	GM037
2.5	0.0	2010-01-27	2010	23	30	GM037
2.5	0.0	2010-01-27	2010	23	45	GM037
2.5	0.0	2010-01-28	2010	0	0	GM037
2.6	0.0	2010-01-28	2010	0	15	GM037
2.7	0.0	2010-01-28	2010	0	30	GM037
2.7	0.0	2010-01-28	2010	0	45	GM037
2.7	0.0	2010-01-28	2010	1	0	GM037
2.4	0.0	2010-01-28	2010	1	15	GM037
2.6	0.0	2010-01-28	2010	1	30	GM037
2.4	0.0	2010-01-28	2010	1	45	GM037
2.5	0.0	2010-01-28	2010	2	0	GM037
2.5	0.7	2010-01-28	2010	2	15	GM037
2.5	0.0	2010-01-28	2010	2	30	GM037
2.4	0.0	2010-01-28	2010	2	45	GM037
2.4	0.0	2010-01-28	2010	3	0	GM037
2.5	0.0	2010-01-28	2010	3	15	GM037
2.6	0.7	2010-01-28	2010	3	30	GM037
2.7	0.0	2010-01-28	2010	3	45	GM037
2.6	0.0	2010-01-28	2010	4	0	GM037
2.5	0.0	2010-01-28	2010	4	15	GM037
2.4	0.0	2010-01-28	2010	4	30	GM037
2.48	0.7	2010-01-28	2010	4	45	GM037
2.56	1.0	2010-01-28	2010	5	0	GM037
2.6399999999999997	1.0	2010-01-28	2010	5	15	GM037
2.7199999999999998	0.7	2010-01-28	2010	5	30	GM037
2.8	0.0	2010-01-28	2010	5	45	GM037
3.6	0.0	2010-01-28	2010	6	0	GM037
3.9	0.7	2010-01-28	2010	6	15	GM037
4.2	1.0	2010-01-28	2010	6	30	GM037
4.5	1.0	2010-01-28	2010	6	45	GM037
4.8	0.7	2010-01-28	2010	7	0	GM037
5.1	0.0	2010-01-28	2010	7	15	GM037
5.4	0.0	2010-01-28	2010	7	30	GM037
5.3	0.0	2010-01-28	2010	7	45	GM037
4.8	0.0	2010-01-28	2010	8	0	GM037
4.9	0.0	2010-01-28	2010	8	15	GM037
4.9	0.0	2010-01-28	2010	8	30	GM037
4.9	0.0	2010-01-28	2010	8	45	GM037
5.1	0.0	2010-01-28	2010	9	0	GM037
5.5	0.0	2010-01-28	2010	9	15	GM037
5.7	0.0	2010-01-28	2010	9	30	GM037
6.2	0.0	2010-01-28	2010	9	45	GM037
6.0	0.0	2010-01-28	2010	10	0	GM037
5.7	0.0	2010-01-28	2010	10	15	GM037
6.1	0.0	2010-01-28	2010	10	30	GM037
6.0	0.0	2010-01-28	2010	10	45	GM037
5.8	0.0	2010-01-28	2010	11	0	GM037
